Symbol,Close,AVG_20D_VOLUME,TRADED_VALUE,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
THAKDEV,123.65,210,26028.33,8.035714285714286,310.0,ILLIQUID
YCCL,9.9,2550,25245.0,7.738095238095238,311.0,ILLIQUID
DHTL,48.45,520,25194.0,7.440476190476191,312.0,ILLIQUID
TRANSWIND,13.85,1800,24930.0,7.142857142857142,313.0,ILLIQUID
VERTEXPLUS,69.5,330,22935.0,6.845238095238096,314.0,ILLIQUID
SWASTIK,22.2,840,18648.0,6.547619047619048,315.0,ILLIQUID
INSPIRE,10.65,1600,17040.0,6.25,316.0,ILLIQUID
INDIFRA,14.15,900,12735.0,5.952380952380952,317.0,ILLIQUID
KKVAPOW,613.0,17,10482.3,5.654761904761905,318.0,ILLIQUID
SONAL,88.0,110,9719.6,5.357142857142857,319.0,ILLIQUID
SHIVAUM,318.0,27,8776.8,5.059523809523809,320.0,ILLIQUID
PATTECH,116.85,75,8763.75,4.761904761904762,321.0,ILLIQUID
SMVD,11.0,606,6666.0,4.464285714285714,322.0,ILLIQUID
AVSL,119.7,50,5985.0,4.166666666666666,323.0,ILLIQUID
SAROJA,32.5,160,5200.0,3.869047619047619,324.0,ILLIQUID
QFIL,43.9,100,4390.0,3.571428571428571,325.0,ILLIQUID
KALYANI,138.09,0,0.0,1.7857142857142856,326.0,ILLIQUID
JETKNIT,89.2,0,0.0,1.7857142857142856,326.0,ILLIQUID
AHIMSA,24.7,0,0.0,1.7857142857142856,326.0,ILLIQUID
VELS,68.35,0,0.0,1.7857142857142856,326.0,ILLIQUID
VASA,4.65,0,0.0,1.7857142857142856,326.0,ILLIQUID
DRSDILIP,119.5,0,0.0,1.7857142857142856,326.0,ILLIQUID
JAKHARIA,60.5,0,0.0,1.7857142857142856,326.0,ILLIQUID
VERA,69.0,0,0.0,1.7857142857142856,326.0,ILLIQUID
SHAIVAL,33.0,0,0.0,1.7857142857142856,326.0,ILLIQUID
LLOYDS,93.15,0,0.0,1.7857142857142856,326.0,ILLIQUID
MINDPOOL,71.1,0,0.0,1.7857142857142856,326.0,ILLIQUID
20MICRONS,,343617,,,,ILLIQUID
3IINFOLTD,,404692,,,,ILLIQUID
3MINDIA,,5950,,,,ILLIQUID
3PLAND,,7066,,,,ILLIQUID
A2ZINFRA,,292101,,,,ILLIQUID
AAATECH,,17923,,,,ILLIQUID
AADHARHFC,,421345,,,,ILLIQUID
AAREYDRUGS,,61315,,,,ILLIQUID
AAKASH,,160711,,,,ILLIQUID
AARTECH,,97769,,,,ILLIQUID
AARON,,11589,,,,ILLIQUID
AARTIPHARM,,216251,,,,ILLIQUID
AARTIDRUGS,,144669,,,,ILLIQUID
AARTIIND,,809538,,,,ILLIQUID
AARVI,,28546,,,,ILLIQUID
AARTISURF,,13441,,,,ILLIQUID
AAVAS,,82569,,,,ILLIQUID
ABBOTINDIA,,12283,,,,ILLIQUID
ABB,,536700,,,,ILLIQUID
ABCAPITAL,,4127210,,,,ILLIQUID
ABCOTS,,54731,,,,ILLIQUID
ABFRL,,5711355,,,,ILLIQUID
ABGSEC,,288,,,,ILLIQUID
ABLBL,,2239515,,,,ILLIQUID
ABMINTLLTD,,1019,,,,ILLIQUID
ABREL,,277596,,,,ILLIQUID
ABSLAMC,,381492,,,,ILLIQUID
ACC,,223034,,,,ILLIQUID
ACCELYA,,6729,,,,ILLIQUID
ACE,,505543,,,,ILLIQUID
ACEINTEG,,6973,,,,ILLIQUID
ACI,,161934,,,,ILLIQUID
ACMESOLAR,,2584904,,,,ILLIQUID
ACUTAAS,,445805,,,,ILLIQUID
ADANIENSOL,,3684807,,,,ILLIQUID
ADANIENT,,2834538,,,,ILLIQUID
ADANIPORTS,,2625302,,,,ILLIQUID
ADANIPOWER,,44408641,,,,ILLIQUID
ADFFOODS,,305675,,,,ILLIQUID
ADL,,1488,,,,ILLIQUID
ADROITINFO,,62077,,,,ILLIQUID
ADVAIT,,64125,,,,ILLIQUID
ADOR,,32100,,,,ILLIQUID
ADVANCE,,151744,,,,ILLIQUID
ADVANIHOTR,,26129,,,,ILLIQUID
ADVENTHTL,,197301,,,,ILLIQUID
AEGISVOPAK,,963514,,,,ILLIQUID
AEGISLOG,,886084,,,,ILLIQUID
AEPL,,21400,,,,ILLIQUID
AEQUS,,2957063,,,,ILLIQUID
AEROFLEX,,4587202,,,,ILLIQUID
AEROENTER,,493900,,,,ILLIQUID
AERONEU,,104463,,,,ILLIQUID
AFCONS,,1748038,,,,ILLIQUID
AFFLE,,725581,,,,ILLIQUID
AFFORDABLE,,13403,,,,ILLIQUID
AFSL,,49912,,,,ILLIQUID
AGARIND,,51422,,,,ILLIQUID
AGARWALEYE,,98978,,,,ILLIQUID
AGI,,201583,,,,ILLIQUID
AGIIL,,1986722,,,,ILLIQUID
AGROPHOS,,43625,,,,ILLIQUID
AHCL,,2488420,,,,ILLIQUID
AHLADA,,14394,,,,ILLIQUID
AHLEAST,,5731,,,,ILLIQUID
AHLWEST,,4877,,,,ILLIQUID
AHLUCONT,,43354,,,,ILLIQUID
AIIL,,445627,,,,ILLIQUID
AIAENG,,111537,,,,ILLIQUID
AIRAN,,73036,,,,ILLIQUID
AIROLAM,,1706,,,,ILLIQUID
AJANTPHARM,,164429,,,,ILLIQUID
AJOONI,,283433,,,,ILLIQUID
AJMERA,,1401647,,,,ILLIQUID
AKASH,,7381,,,,ILLIQUID
AJAXENGG,,85907,,,,ILLIQUID
AKG,,26700,,,,ILLIQUID
AKI,,107741,,,,ILLIQUID
AKSHAR,,1229455,,,,ILLIQUID
AKUMS,,267881,,,,ILLIQUID
AKSHOPTFBR,,164939,,,,ILLIQUID
AKSHARCHEM,,2648,,,,ILLIQUID
ALANKIT,,166466,,,,ILLIQUID
ALBERTDAVD,,6265,,,,ILLIQUID
ALGOQUANT,,1493859,,,,ILLIQUID
