Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOLATILITY,VOL_ADJ_RS,Momentum,Sharpe,Institutional Score
RANEHOLDIN.NS,6.13,28.58,39.0,28.76,-32.87,0.4909,79.45,32.856,58.59,89.84
WALCHANNAG.NS,-0.88,0.05,27.58,47.1,-28.46,0.6718,41.05,39.292,70.11,89.84
HCC.NS,5.68,4.5,25.55,42.58,-19.87,0.5553,46.01,35.768,76.68,89.7
DEEPAKFERT.NS,-0.96,11.87,18.81,51.74,-19.77,0.5011,37.54,38.568,103.25,89.63
ENRIN.NS,4.71,16.98,25.09,33.24,-20.38,0.4175,60.1,29.98,79.62,89.6
SSFL.NS,39.86,79.69,62.74,33.88,-22.88,0.7842,80.01,45.42400000000001,43.2,89.59
MARALOVER.NS,4.14,-6.43,31.98,35.79,-27.84,0.5644,56.66,34.266000000000005,63.41,89.54
NRL.NS,24.56,21.12,22.1,32.06,2.46,0.3423,64.56,28.076,93.66,89.5
BSE.NS,-6.44,1.55,15.2,55.38,-21.64,0.4142,36.7,39.308,133.7,89.46
MGEL.NS,17.15,9.86,21.67,47.0,-4.52,0.5574,38.88,36.868,84.32,89.39
MAHESHWARI.NS,7.44,10.39,18.47,48.63,-11.03,0.4818,38.34,36.566,100.93,89.33
SAIL.NS,6.38,15.69,23.35,33.39,-16.97,0.4044,57.74,29.374000000000002,82.57,89.32
WEWORK.NS,13.7,23.3,22.48,37.68,-8.78,0.4541,49.5,31.6,82.98,89.22
IBLFL.NS,1.78,-2.54,26.45,33.11,-24.67,0.4597,57.54,30.445999999999998,72.03,89.21
IVP.NS,-1.71,8.24,25.97,35.25,-27.68,0.4875,53.27,31.537999999999997,72.31,89.11
GULFPETRO.NS,23.87,19.04,23.82,34.68,0.05,0.4385,54.32,30.336,79.09,89.09
KANORICHEM.NS,1.69,-3.75,21.36,42.15,-19.67,0.5,42.72,33.834,84.3,89.06
SANSERA.NS,2.78,19.55,27.23,33.57,-24.45,0.4871,55.9,31.034,68.92,89.04
S&SPOWER.NS,13.66,6.66,22.46,44.98,-8.8,0.5633,39.87,35.971999999999994,79.85,89.03
COFORGE.NS,11.97,12.8,20.46,38.3,-8.49,0.4243,48.22,31.163999999999998,90.27,89.02
PANACEABIO.NS,6.15,15.82,25.65,40.8,-19.5,0.5841,43.91,34.739999999999995,69.85,88.98
KIRLOSENG.NS,11.61,13.46,19.01,42.93,-7.4,0.4478,42.45,33.362,95.87,88.97
UNIPARTS.NS,8.92,6.38,19.34,39.35,-10.42,0.4183,46.23,31.346,94.07,88.87
JAYAGROGN.NS,3.62,18.48,19.65,42.06,-16.03,0.4611,42.62,33.096000000000004,91.22,88.79
AMBIKCO.NS,7.24,8.89,21.14,33.36,-13.9,0.3856,54.82,28.472,86.51,88.77
ARKADE.NS,-3.61,-6.95,32.58,26.09,-36.19,0.4362,74.69,28.686,59.81,88.66
