Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
LLOYDSENT.NS,6.28,12.22,28.51,46.62,-22.23,46.23
RVTH.NS,14.97,31.07,28.47,34.55,-13.499999999999998,51.22
THYROCARE.NS,6.65,12.7,28.4,36.18,-21.75,69.19
NLCINDIA.NS,-2.36,10.49,28.39,41.0,-30.75,65.7
IVP.NS,10.84,23.32,28.32,35.64,-17.48,58.51
OCCLLTD.NS,23.71,19.85,28.31,41.12,-4.599999999999998,51.57
BSE.NS,-0.34,12.24,28.25,64.23,-28.59,69.13
TATATECH.NS,5.61,16.7,28.1,33.78,-22.490000000000002,86.48
ELECON.NS,8.42,-2.78,28.09,34.98,-19.67,52.39
SOLARINDS.NS,1.37,20.61,28.07,49.39,-26.7,76.78
SHIVAMILLS.NS,0.95,5.72,28.01,30.31,-27.060000000000002,63.78
STALLION.NS,8.14,12.15,28.0,57.05,-19.86,37.87
BALPHARMA.NS,19.47,27.5,27.92,34.88,-8.450000000000003,69.28
BLUECOAST.NS,-3.84,5.14,27.92,39.59,-31.76,57.66
JINDWORLD.NS,15.57,18.63,27.88,31.98,-12.309999999999999,45.43
ICIL.NS,0.99,9.27,27.79,24.57,-26.8,44.83
ARISTO.NS,-6.25,-8.4,27.78,22.92,-34.03,63.19
KERNEX.NS,8.64,10.77,27.71,43.19,-19.07,44.5
POLYCAB.NS,3.96,16.87,27.69,26.56,-23.73,77.68
NEOGEN.NS,3.73,6.56,27.67,40.42,-23.94,49.35
KSL.NS,3.8,-2.29,27.62,25.08,-23.82,69.3
GKSL.NS,-4.15,11.88,27.56,30.62,-31.71,82.55
SANGINITA.NS,9.11,27.83,27.49,105.09,-18.38,48.94
SMARTLINK.NS,-2.29,19.34,27.33,36.44,-29.619999999999997,51.55
LAXMIDENTL.NS,18.51,15.52,27.32,37.86,-8.809999999999999,43.28
HALEOSLABS.NS,0.36,3.49,27.28,36.96,-26.92,65.83
GODREJIND.NS,-0.16,12.89,27.26,14.83,-27.42,56.18
GREENCHEF.NS,13.94,28.54,27.23,49.24,-13.290000000000001,45.85
SUPREMEPWR.NS,8.19,-5.62,27.1,94.64,-18.910000000000004,40.04
SAKAR.NS,-3.58,34.15,27.08,60.88,-30.659999999999997,42.86
VIJAYA.NS,-1.84,7.84,27.03,36.05,-28.87,84.36
KHAITANLTD.NS,0.91,2.91,26.97,58.07,-26.06,47.01
PNBHOUSING.NS,0.56,3.0,26.97,37.83,-26.41,71.61
EMAMIREAL.NS,-1.39,-13.11,26.92,42.27,-28.310000000000002,40.2
LAURUSLABS.NS,0.46,19.53,26.8,43.01,-26.34,85.59
PATINTLOG.NS,14.47,19.84,26.79,41.76,-12.319999999999999,58.66
JSFB.NS,6.6,8.16,26.72,40.0,-20.119999999999997,56.33
SCPL.NS,-11.21,-7.01,26.61,38.01,-37.82,46.96
VISHWAS.NS,-1.62,0.29,26.41,38.25,-28.03,41.53
AMNPLST.NS,-0.41,17.32,26.3,28.77,-26.71,45.77
SUPRIYA.NS,10.15,16.65,26.28,29.51,-16.130000000000003,66.18
STYLAMIND.NS,1.76,23.53,26.15,35.28,-24.389999999999997,90.11
MEDICO.NS,5.42,19.23,26.14,13.07,-20.72,50.86
MENONBE.NS,-2.09,18.03,26.09,36.5,-28.18,64.69
JAYBARMARU.NS,8.94,21.11,25.98,15.73,-17.04,38.15
ARVIND.NS,-1.56,26.63,25.9,44.23,-27.459999999999997,60.7
BIRLACABLE.NS,17.88,19.95,25.85,43.64,-7.970000000000002,42.86
ELGIRUBCO.NS,7.5,-4.44,25.83,41.09,-18.33,36.28
SAREGAMA.NS,1.59,21.01,25.81,35.3,-24.22,54.51
