Symbol,MULTI_FACTOR_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,NEWS_ALPHA,NEWS_SCORE,NEWS_BIAS,NEWS_IMPACT,NEWS_FLAG,ENTRY_SCORE,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
INDIGOPNTS,45.78,58.2,58.38,50.0,59.39,3.123333333333333,89.51612903225806,2.76,POSITIVE,MEDIUM,POSITIVE NEWS,4,LOW,58.66,124
CONCORDBIO,59.71,82.39999999999999,59.52,81.09,68.65,6.28,4.953917050691245,-5.76,NEGATIVE,HIGH,NEWS RISK,7,LOW,58.6,125
HCG,61.59,56.39999999999999,76.65,80.46,79.44,8.330000000000002,35.02304147465438,0.0,NEUTRAL,LOW,NORMAL,4,LOW,58.38,126
BERGEPAINT,58.51,69.66666666666667,63.58,75.25,69.04,6.063333333333333,44.47004608294931,0.0,NEUTRAL,LOW,NORMAL,4,LOW,58.2,127
FORTIS,54.85,88.13333333333333,55.33,56.35,63.2,5.54,56.10599078341014,-1.2,NEUTRAL,LOW,NORMAL,4,LOW,58.07,128
AGARIND,54.38,52.8,65.23,38.83,70.3,12.54,67.97235023041475,1.2,NEUTRAL,LOW,NORMAL,3,LOW,57.63,129
CUMMINSIND,65.8,94.4,78.93,82.49,79.95,9.016666666666666,16.82027649769585,-0.96,NEUTRAL,LOW,NORMAL,4,LOW,57.57,130
HBLENGINE,59.19,86.93333333333332,69.29,69.29,64.72,8.123333333333333,63.47926267281107,0.6,NEUTRAL,LOW,NORMAL,2,LOW,57.46,131
CENTENKA,60.12,46.53333333333333,83.5,76.9,82.23,12.896666666666668,35.13824884792627,0.0,NEUTRAL,LOW,NORMAL,4,LOW,57.42,132
DIVISLAB,53.06,93.8,54.57,61.17,62.44,3.4666666666666663,45.96774193548387,0.0,NEUTRAL,LOW,NORMAL,5,LOW,57.34,133
INDHOTEL,45.95,88.86666666666667,47.97,52.54,46.19,3.99,82.02764976958525,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,4,LOW,57.27,134
GHCLTEXTIL,62.84,43.13333333333333,87.82,86.8,84.26,14.606666666666664,25.0,0.0,NEUTRAL,LOW,NORMAL,4,LOW,57.22,135
FSL,64.63,81.6,81.47,64.21,81.73,10.036666666666669,43.77880184331797,0.0,NEUTRAL,LOW,NORMAL,2,LOW,57.17,136
GMRAIRPORT,48.88,92.33333333333331,53.3,44.67,53.55,4.2700000000000005,71.6589861751152,0.0,NONE,LOW,NORMAL,4,LOW,57.17,137
FINEORG,41.93,41.93333333333334,46.83,53.17,50.13,1.7799999999999994,93.89400921658986,3.84,POSITIVE,HIGH,NEWS CATALYST,4,LOW,56.95,138
APTECHT,62.69,53.13333333333333,84.26,80.71,81.22,14.003333333333332,10.944700460829493,-2.4,NEGATIVE,MEDIUM,NEGATIVE NEWS,5,LOW,56.8,139
BEML,41.83,74.66666666666667,47.46,46.7,46.7,5.203333333333333,92.3963133640553,6.75,POSITIVE,HIGH,NEWS CATALYST,4,LOW,56.58,140
CENTURYPLY,51.16,53.66666666666666,54.82,64.47,59.9,4.9866666666666655,85.59907834101382,1.95,NEUTRAL,LOW,NORMAL,2,LOW,56.49,141
FINCABLES,54.32,79.06666666666666,72.08,62.18,66.5,5.293333333333333,73.73271889400922,1.2,NEUTRAL,LOW,NORMAL,2,LOW,56.24,142
20MICRONS,58.48,47.13333333333333,75.89,62.94,75.63,10.626666666666669,33.064516129032256,-0.48,NEUTRAL,LOW,NORMAL,4,LOW,55.9,143
CAPLIPOINT,19.24,81.13333333333334,4.31,17.51,7.87,-3.303333333333333,89.74654377880185,2.88,POSITIVE,MEDIUM,POSITIVE NEWS,10,LOW,55.87,144
EVEREADY,39.77,43.4,38.83,39.85,43.15,4.603333333333333,57.48847926267281,0.36,NEUTRAL,LOW,NORMAL,7,LOW,55.72,145
GUJGASLTD,46.86,66.0,47.21,36.04,64.21,2.4966666666666666,92.74193548387096,3.12,POSITIVE,HIGH,NEWS CATALYST,2,LOW,55.03,146
AEGISVOPAK,37.43,51.26666666666667,36.55,33.25,39.59,1.4933333333333332,98.84792626728112,8.64,POSITIVE,HIGH,NEWS CATALYST,4,LOW,54.91,147
IGL,49.85,80.80000000000001,39.85,45.69,63.45,3.983333333333334,68.89400921658986,0.0,NONE,LOW,NORMAL,3,LOW,54.77,148
BBL,60.59,52.73333333333333,76.9,77.16,74.87,11.223333333333334,44.815668202764975,0.0,NEUTRAL,LOW,NORMAL,2,LOW,54.67,149
NITINSPIN,41.33,50.13333333333333,50.0,56.6,47.72,3.453333333333333,46.54377880184332,0.0,NEUTRAL,LOW,NORMAL,7,LOW,54.57,150
INDIANB,48.83,95.0,53.68,59.77,49.24,5.249999999999999,82.7188940092166,0.0,NONE,LOW,NORMAL,2,LOW,54.35,151
INDNIPPON,49.88,48.46666666666667,72.59,58.38,66.24,5.936666666666667,40.66820276497696,0.0,NEUTRAL,LOW,NORMAL,5,LOW,54.14,152
BOSCHLTD,55.51,89.66666666666666,58.63,65.74,57.11,7.083333333333335,21.54377880184332,0.0,NONE,LOW,NORMAL,5,LOW,54.1,153
ENRIN,71.08,94.6,84.01,83.5,89.85,9.980000000000002,6.682027649769585,-3.36,NEGATIVE,HIGH,NEWS RISK,2,LOW,54.09,154
ABCAPITAL,49.0,86.73333333333333,57.87,60.53,51.78,4.9433333333333325,80.76036866359448,1.56,NEUTRAL,LOW,NORMAL,2,LOW,54.07,155
AJANTPHARM,45.63,73.8,48.73,38.58,55.58,2.8200000000000003,64.86175115207374,0.96,NEUTRAL,LOW,NORMAL,4,LOW,53.63,156
FLUOROCHEM,53.78,71.66666666666667,63.96,60.91,67.26,4.680000000000001,61.866359447004605,0.0,NEUTRAL,LOW,NORMAL,2,LOW,53.5,157
HARDWYN,67.49,51.2,87.31,91.62,85.28,16.383333333333333,14.746543778801843,-1.2,NEUTRAL,LOW,NORMAL,2,LOW,53.29,158
CDSL,57.23,89.86666666666666,73.48,70.43,67.77,8.923333333333332,73.963133640553,1.2,NEUTRAL,LOW,NORMAL,0,LOW,53.24,159
